"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1663861","Yusuf  Ozturk and Vaibhav  Nagarnaik","","","","Antenna Diversity Using Single Antenna in Robot Communication","155--165","","11","Antenna diversity, Conjugate gradient search, Robot communication","10.1016/j.dsp.2009.03.010","Digit. Signal Process.","January, 2010","20","1","","January","2010","1051-2004","","","","","","Academic Press, Inc.","Orlando, FL, USA"
"article","1546904","M. E.  Barrera Cerda and A. Ram&#237;rez Serrano","","","","A 3-D Localization Algorithm for Robot Swarms Under the Presence of Failures","226--231","","6","localization, robot swarms, unmanned vehicles, wireless","10.1109/ICAS.2009.64","","","","","","","2009","","Proceedings of the 2009 Fifth International Conference on Autonomic and Autonomous Systems","ICAS '09","","978-0-7695-3584-5","","IEEE Computer Society","Washington, DC, USA"
"article","786165","Werner E Friedrich","","","","Increased Reliability by Effective Use of Sensor Information: A Shop Floor Application of Sensor-aided Robotic Handling","359--","","","Robotics, Sensors, Automation, Information processing, Motion cotrol","","","","","","","","1995","","Proceedings of the 2Nd New Zealand Two-Stream International Conference on Artificial Neural Networks and Expert Systems","ANNES '95","","0-8186-7174-2","","IEEE Computer Society","Washington, DC, USA"
"article","2089616","Hyunsook  Kim and Jeongho  Son and Sukgyu  Lee and Kijun  Han","","","","An Energy Efficient Method for Tracking Mobile Ubiquitous Robots Using Wireless Sensor Network","356--366","","11","prediction, target tracking, ubiquitous robot, wireless sensor","10.1007/11872153_31","","","","","","","2006","","Proceedings of the 11th IFIP TC6 International Conference on Personal Wireless Communications","PWC'06","","3-540-45174-9, 978-3-540-45174-7","Albacete, Spain","Springer-Verlag","Berlin, Heidelberg"
"article","1808979","Vincent  Duindam and   Jijie Xu and Ron  Alterovitz and Shankar  Sastry and Ken  Goldberg","","","","Three-dimensional Motion Planning Algorithms for Steerable Needles Using Inverse Kinematics","789--800","","12","inverse kinematics, medical robotics and systems, motion planning, steerable needles","10.1177/0278364909352202","Int. J. Rob. Res.","June      2010","29","7","","June","2010","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","2447673","Fran&#231;ois  Ferland and Arnaud  Aumont and Dominic  L&#233;tourneau and Fran&#231;ois  Michaud","","","","Taking Your Robot for a Walk: Force-guiding a Mobile Robot Using Compliant Arms","309--316","","8","direct physical interaction, humanoid robot, impedance control","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"article","2813830","Jurek  Czyzowicz and Evangelos  Kranakis and Eduardo  Pacheco","","","","Localization for a System of Colliding Robots","245--252","","8","Algorithms, Elastic collisions, Mobile robots, Synchronous systems","10.1007/s00446-014-0234-3","Distrib. Comput.","August    2015","28","4","","August","2015","0178-2770","","","","","","Springer-Verlag","London, UK, UK"
"article","2120439","Cheonshu  Park and Jaehong  Kim","","","","A Location and Emergency Monitoring System for Elder Care Using ZigBee","367--369","","3","ZigBeee network, elder care, location and emergency monitoring, robot","10.1109/MSN.2011.87","","","","","","","2011","","Proceedings of the 2011 Seventh International Conference on Mobile Ad-hoc and Sensor Networks","MSN '11","","978-0-7695-4610-0","","IEEE Computer Society","Washington, DC, USA"
"article","2347487","Sangseok  Yun and Bongjin  Jun and Daijin  Kim and Jaewoong  Kim and Sukhan  Lee and Mun-Taek  Choi and Munsang  Kim and Joong-Tae  Park and Jae-Bok  Song","","","","Proactive Human Search for the Designated Person with Prior Context Information in an Undiscovered Environments","79--99","","21","CIROS, Intelligent robot software architecture (IRSA), Proactive human search, Robot grand challenge","10.1007/s10846-011-9641-x","J. Intell. Robotics Syst.","July      2012","67","2","","July","2012","0921-0296","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","1575233","Mike  Phillips and Manuela  Veloso","","","","Robust Supporting Role in Coordinated Two-Robot Soccer Attack","235--246","","12","","10.1007/978-3-642-02921-9_21","","","","","","","","","RoboCup 2008: Robot Soccer World Cup XII","","","978-3-642-02920-2","","Springer-Verlag","Berlin, Heidelberg"
"article","3007786","Debasish  Pattanayak and Kaushik  Mondal and H.  Ramesh and Partha Sarathi Mandal","","","","Fault-Tolerant Gathering of Mobile Robots with Weak Multiplicity Detection","7:1--7:4","7","4","Fault-Tolerance, Gathering, Oblivious Mobile Robots","10.1145/3007748.3007786","","","","","","","2017","","Proceedings of the 18th International Conference on Distributed Computing and Networking","ICDCN '17","","978-1-4503-4839-3","Hyderabad, India","ACM","New York, NY, USA"
"technical report","870315","C.  H.-Chang and D.  Gottlieb and   Author: and and B.W. Sheldon","","","","","","","","","","","","","","","","1997","","MATHEMATICAL ANALYSIS AND OPTIMIZATION OF INFILTRATION PROCESSES","","","","","Institute for Computer Applications in Science and Engineering (ICASE)",""
"technical report","870420","J.  Loncaric and V. S. Ryaben''kii and and S.V. Tsynkov","","","","","","","","","","","","","","","","2000","","Active Shielding and Control of Environmental Noise","","","","","Institute for Computer Applications in Science and Engineering (ICASE)",""
"article","2852762","Naouel  Ayari and Abdelghani  Chibani and Yacine  Amirat and Eric  Matson","","","","A Semantic Approach for Enhancing Assistive Services in Ubiquitous Robotics","17--27","","11","Intelligent assistive services, Multi-agents, Ontologies, Symbolic modeling and reasoning, Ubiquitous robotics","10.1016/j.robot.2014.10.022","Robot. Auton. Syst.","January 2016","75","PA","","January","2016","0921-8890","","","","","","North-Holland Publishing Co.","Amsterdam, The Netherlands, The Netherlands"
"article","595432","R.  Cerulli and P.  Festa and G.  Raiconi and G.  Visciano","","","","The Auction Technique for the Sensor Based Navigation Planning of an Autonomous Mobile Robot","373--395","","23","Auction method</kwd>, robot motion</kwd>, shortest path</kwd>","10.1023/A:1007938619997","J. Intell. Robotics Syst.","April 1998","21","4","","April","1998","0921-0296","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","1627500","Ali A. Hasan and Abdulgani M. Albagul and Abdulla A. Soliaman","","","","Optimum Design of Two-link Robotic Manipulator","21--24","","4","optimization, robotics","","","","","","","","2009","","Proceedings of the 9th WSEAS International Conference on Systems Theory and Scientific Computation","ISTASC'09","","978-960-474-109-0","Moscow, Russia","World Scientific and Engineering Academy and Society (WSEAS)","Stevens Point, Wisconsin, USA"
"article","2783513","K. R. Anupama and Meetha V. Shenoy and S. Sankhar Reddy","","","","Platform for Biomimetic Swarms","63:1--63:6","63","6","autonomous behaviour, biomimetics, self assembly, swarm robotics","10.1145/2783449.2783513","","","","","","","2015","","Proceedings of the 2015 Conference on Advances In Robotics","AIR '15","","978-1-4503-3356-6","Goa, India","ACM","New York, NY, USA"
"article","2571760","Simon  Thompson and Satoshi  Kagami","","","","Evaluating 3D Polygon Maps for Mobile Robot Localisation","2396--2401","","6","Mobile Robot Localisation, 3D Map Evaluation","10.1109/SMC.2013.409","","","","","","","2013","","Proceedings of the 2013 IEEE International Conference on Systems, Man, and Cybernetics","SMC '13","","978-1-4799-0652-9","","IEEE Computer Society","Washington, DC, USA"
"article","2941907","Daniel Castro  Silva and Pedro Henriques  Abreu and Lu&#237;s Paulo  Reis and Eug&#233;nio  Oliveira","","","","Development of a Flexible Language for Mission Description for Multi-robot Missions","27--44","","18","Mission definition, Multi-robot mission, XML dialect","10.1016/j.ins.2014.07.047","Inf. Sci.","December 2014","288","C","","December","2014","0020-0255","","","","","","Elsevier Science Inc.","New York, NY, USA"
"article","2447708","Anca D. Dragan and Andrea L. Thomaz and Siddhartha S. Srinivasa","","","","Collaborative Manipulation: New Challenges for Robotics and HRI","435--436","","2","collaboration, human-robot interaction, manipulation, workshop","","","","","","","","2013","","Proceedings of the 8th ACM/IEEE International Conference on Human-robot Interaction","HRI '13","","978-1-4673-3055-8","Tokyo, Japan","IEEE Press","Piscataway, NJ, USA"
"article","855516","Michael  Mock and Martin  Gergeleit and and Edgar Nett","","","","Monitoring Distributed Real-Time Activities in DCOM","26--","","","distributed object-oriented frameworks, real-time monitoring, DCOM","","","","","","","","2000","","Proceedings of the Third IEEE International Symposium on Object-Oriented Real-Time Distributed Computing","ISORC '00","","0-7695-0607-0","","IEEE Computer Society","Washington, DC, USA"
"article","591485","Sridhar  Mahadevan and Georgios  Theocharous and Nikfar  Khaleeli","","","","Rapid Concept Learning for Mobile Robots","239--251","","13","concept learning</kwd>, neural networks</kwd>, robot learning</kwd>","10.1023/A:1008850021368","Auton. Robots","July-August 1998","5","3-4","","July","1998","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2482552","Jeremiah  Blocki and Saranga  Komanduri and Ariel  Procaccia and Or  Sheffet","","","","Optimizing Password Composition Policies","105--122","","18","computational complexity, password composition policy, sampling","10.1145/2482540.2482552","","","","","","","2013","","Proceedings of the Fourteenth ACM Conference on Electronic Commerce","EC '13","","978-1-4503-1962-1","Philadelphia, Pennsylvania, USA","ACM","New York, NY, USA"
"article","1672394","C.  Kamphuis and H.  Mollenhorst and A.  Feelders and D.  Pietersma and H.  Hogeveen","","","","Decision-tree Induction to Detect Clinical Mastitis with Automatic Milking","60--68","","9","Automatic mastitis detection, Data mining, Robotic milking","10.1016/j.compag.2009.08.012","Comput. Electron. Agric.","January, 2010","70","1","","January","2010","0168-1699","","","","","","Elsevier Science Publishers B. V.","Amsterdam, The Netherlands, The Netherlands"
"article","296955","Sridhar  Mahadevan and Georgios  Theocharous and Nikfar  Khaleeli","","","","Rapid Concept Learning for Mobile Robots","7--27","","21","concept learning</kwd>, neural networks</kwd>, robot learning</kwd>","10.1023/A:1007432422702","Mach. Learn.","April/May/June 1998","31","1-3","","April","1998","0885-6125","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","3036653","Jose Alexander L&#243;pez and Francisco  Cu&#233;llar","","","","ROBOTMAN: Security Robot for Human-robot Interaction Inside Malls","410--410","","1","human robot interaction, security robot","10.1145/3029798.3036653","","","","","","","2017","","Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4885-0","Vienna, Austria","ACM","New York, NY, USA"
"article","2874676","Carlos M.  Costa and H&#233;ber M.  Sobreira and Armando J.  Sousa and Germano M.  Veiga","","","","Robust 3/6 DoF Self-localization System with Selective Map Update for Mobile Robot Platforms","113--140","","28","Geometric feature matching, Point cloud registration, Self-localization, Simultaneous localization and mapping","10.1016/j.robot.2015.09.030","Robot. Auton. Syst.","February 2016","76","C","","February","2016","0921-8890","","","","","","North-Holland Publishing Co.","Amsterdam, The Netherlands, The Netherlands"
"article","1327420","Jose-Luis  Blanco and Javier  Gonz&#225;lez and Juan-Antonio  Fern&#225;ndez-Madrigal","","","","Extending Obstacle Avoidance Methods Through Multiple Parameter-space Transformations","29--48","","20","Mobile robots, Obstacle avoidance, Path planning","10.1007/s10514-007-9062-7","Auton. Robots","January   2008","24","1","","January","2008","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2682473","Chinmay  Kulkarni and Suhas  Grama and Pramod Gubbi Suresh and Chaitanya  Krishna and Joseph  Antony","","","","Surveillance Robot Using Arduino Microcontroller, Android APIs, and the Internet","107--111","","5","Surveillance Robots, Android, Arduino, Video streaming","10.1109/SIMS.2014.25","","","","","","","2014","","Proceedings of the 2014 First International Conference on Systems Informatics, Modelling and Simulation","SIMS '14","","978-0-7695-5198-2","","IEEE Computer Society","Washington, DC, USA"
"article","1798693","Shukui  Han and Bin  Wang and Ren  Du","","","","Design and Motion of a Redundant Snake Robot","962--965","","4","Snake robot, Serpenoid curve, Gait, links","10.1109/ICMTMA.2010.658","","","","","","","2010","","Proceedings of the 2010 International Conference on Measuring Technology and Mechatronics Automation - Volume 01","ICMTMA '10","","978-0-7695-3962-1","","IEEE Computer Society","Washington, DC, USA"
"article","2887590","I&#241;aki  Ra&#241;&#243; and Roberto  Iglesias","","","","Application of Systems Identification to the Implementation of Motion Camouflage in Mobile Robots","229--244","","16","Biorobotics, Mobile robots, Motion camouflage, Systems identification","10.1007/s10514-015-9449-9","Auton. Robots","February  2016","40","2","","February","2016","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2831216","Or  Peles and Roee  Hay","","","","One Class to Rule Them All 0-day Deserialization Vulnerabilities in Android","5--5","","1","","","","","","","","","2015","","Proceedings of the 9th USENIX Conference on Offensive Technologies","WOOT'15","","","Washington, D.C.","USENIX Association","Berkeley, CA, USA"
"article","2907519","Reza  Arezoumand and Syamsiah  Mashohor and Mohammad Hamiruce Marhaban","","","","Efficient Terrain Coverage for Deploying Wireless Sensor Nodes on Multi-robot System","163--175","","13","Deployment, Exploration, Multi-robot, Spanning tree, WSN","10.1007/s11370-015-0193-y","Intell. Serv. Robot.","April     2016","9","2","","April","2016","1861-2776","","","","","","Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
"article","1391034","Camilo  Ordonez and Emmanuel G. Collins,Jr. and Majura F. Selekwa and Damion D. Dunlap","","","","The Virtual Wall Approach to Limit Cycle Avoidance for Unmanned Ground Vehicles","645--657","","13","Cluttered environments, Local minima, Robot navigation","10.1016/j.robot.2007.11.010","Robot. Auton. Syst.","August, 2008","56","8","","August","2008","0921-8890","","","","","","North-Holland Publishing Co.","Amsterdam, The Netherlands, The Netherlands"
"article","2688728","Christina  Lichtenth&#228;ler and Annika  Peters and Sascha  Griffiths and Alexandra  Kirsch","","","","Social Navigation - Identifying Robot Navigation Patterns in a Path Crossing Scenario","84--93","","10","human-robot interaction, social navigation, spatial relationship","10.1007/978-3-319-02675-6_9","","","","","","","2013","","Proceedings of the 5th International Conference on Social Robotics - Volume 8239","ICSR 2013","","978-3-319-02674-9","Bristol, UK","Springer-Verlag New York, Inc.","New York, NY, USA"
"article","1331488","Amanda J. Sharkey","","","","Robots, Insects and Swarm Intelligence","255--268","","14","Bio-robotics, Biological inspiration, Emergence, Social insects, Strong artificial intelligence, Swarm intelligence, Swarm robotics","10.1007/s10462-007-9057-y","Artif. Intell. Rev.","December  2006","26","4","","December","2006","0269-2821","","","","","","Kluwer Academic Publishers","Norwell, MA, USA"
"article","1067300","Shimon  Whiteson and Nate  Kohl and Risto  Miikkulainen and Peter  Stone","","","","Evolving Soccer Keepaway Players Through Task Decomposition","5--30","","26","Robot soccer, coevolution, genetic algorithms, neural networks","10.1007/s10994-005-0460-9","Mach. Learn.","May       2005","59","1-2","","May","2005","0885-6125","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2617401","Junchao  Xu and Joost  Broekens and Koen  Hindriks and Mark A. Neerincx","","","","Robot Mood is Contagious: Effects of Robot Body Language in the Imitation Game","973--980","","8","behavioral cues, body language, human robot interaction (hri), mood expression, nonverbal cues, social robots","","","","","","","","2014","","Proceedings of the 2014 International Conference on Autonomous Agents and Multi-agent Systems","AAMAS '14","","978-1-4503-2738-1","Paris, France","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC"
"article","2977543","Fabien  Colonnier and Augustin  Manecy and Rapha&#235;l  Juston and St&#233;phane  Viollet","","","","Visual Odometry and Low Optic Flow Measurement by Means of a Vibrating Artificial Compound Eye","153--163","","11","Eye micro-movements, Hyperacuity, Insect vision, Robotics","10.1007/978-3-319-22979-9_16","","","","","","","2015","","Proceedings of the 4th International Conference on Biomimetic and Biohybrid Systems - Volume 9222","Living Machines 2015","","978-3-319-22978-2","Barcelona, Spain","Springer-Verlag New York, Inc.","New York, NY, USA"
"article","3077513","Marek  Kopicki and Sebastian  Zurek and Rustam  Stolkin and Thomas  Moerwald and Jeremy L. Wyatt","","","","Learning Modular and Transferable Forward Models of the Motions of Push Manipulated Objects","1061--1082","","22","Manipulation, Prediction, Robot Learning, Transfer learning","10.1007/s10514-016-9571-3","Auton. Robots","June      2017","41","5","","June","2017","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","1121310","Marek P. Michalowski and Reid  Simmons","","","","Multimodal Person Tracking and Attention Classification","347--358","","12","human-robot interaction, social robotics","10.1145/1121241.1121310","","","","","","","2006","","Proceedings of the 1st ACM SIGCHI/SIGART Conference on Human-robot Interaction","HRI '06","","1-59593-294-1","Salt Lake City, Utah, USA","ACM","New York, NY, USA"
"article","2696481","Iolanda  Leite and Marissa  McCoy and Monika  Lohani and Daniel  Ullman and Nicole  Salomons and Charlene  Stokes and Susan  Rivers and Brian  Scassellati","","","","Emotional Storytelling in the Classroom: Individual Versus Group Interaction Between Children and Robots","75--82","","8","child-robot interaction, emotional intelligence, interactive storytelling, socially assistive robotics, type of interaction","10.1145/2696454.2696481","","","","","","","2015","","Proceedings of the Tenth Annual ACM/IEEE International Conference on Human-Robot Interaction","HRI '15","","978-1-4503-2883-8","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","3020251","Astrid Marieke Rosenthal-von der P&#252;tten and Nikolai  Bock and Katharina  Brockmann","","","","Not Your Cup of Tea?: How Interacting With a Robot Can Increase Perceived Self-efficacy in HRI and Evaluation","483--492","","10","do-it-yourself, elderly users, experimental study, human-robot interaction, robot teaching, self-efficacy, technology acceptance","10.1145/2909824.3020251","","","","","","","2017","","Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction","HRI '17","","978-1-4503-4336-7","Vienna, Austria","ACM","New York, NY, USA"
"article","1640676","Tolga  Y&#252;ksel and Abdullah  Sezgin","","","","Two Fault Detection and Isolation Schemes for Robot Manipulators Using Soft Computing Techniques","125--134","","10","Fault detection and isolation, M-ANFIS, Neural networks, Robot manipulators","10.1016/j.asoc.2009.06.011","Appl. Soft Comput.","January, 2010","10","1","","January","2010","1568-4946","","","","","","Elsevier Science Publishers B. V.","Amsterdam, The Netherlands, The Netherlands"
"article","2370708","Rj  Wood and B  Finio and M  Karpelson and K  Ma and No  P&#233;rez-Arancibia and Ps  Sreetharan and H  Tanaka and Jp  Whitney","","","","Progress on 'Pico' Air Vehicles","1292--1302","","11","aerial robotics, micro air vehicles, microrobots","10.1177/0278364912455073","Int. J. Rob. Res.","September 2012","31","11","","September","2012","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","2658894","Jun  Kato and Daisuke  Sakamoto and Takeo  Igarashi and Masataka  Goto","","","","Sharedo: To-do List Interface for Human-agent Task Sharing","345--351","","7","human-robot interaction, social media platforms, to-do list","10.1145/2658861.2658894","","","","","","","2014","","Proceedings of the Second International Conference on Human-agent Interaction","HAI '14","","978-1-4503-3035-0","Tsukuba, Japan","ACM","New York, NY, USA"
"article","3031450","Fei  Tao and Jiangfeng  Cheng and Ying  Cheng and Shixin  Gu and Tianyu  Zheng and Hao  Yang","","","","SDMSim","34--46","","13","Cloud manufacturing, Hypernetwork, Manufacturing service, Service-oriented manufacturing (SoM), Simulator, Supply-demand matching (SDM)","10.1016/j.rcim.2016.07.001","Robot. Comput.-Integr. Manuf.","June 2017","45","C","","June","2017","0736-5845","","","","","","Pergamon Press, Inc.","Tarrytown, NY, USA"
"article","1439352","Konstantinos  Ioannidis and Georgios Ch. Sirakoulis and Ioannis  Andreadis","","","","A Cellular Automaton Collision-Free Path Planner Suitable for Cooperative Robots","256--260","","5","Cellular Automata, Cooperative Robotics, Path Planning, Real-Time System, Computational Intelligence Technique, Mobile Robots","10.1109/PCI.2008.43","","","","","","","2008","","Proceedings of the 2008 Panhellenic Conference on Informatics","PCI '08","","978-0-7695-3323-0","","IEEE Computer Society","Washington, DC, USA"
"article","2704267","Jie  Lei and Mingli  Song and Ze-Nian  Li and Chun  Chen and Xianghua  Xu and Shiliang  Pu","","","","Humanoid Robot Imitation with Pose Similarity Metric Learning","4240--4245","","6","humanoid robot, imitation, pose transfer, similarity metric","10.1109/ICPR.2014.727","","","","","","","2014","","Proceedings of the 2014 22Nd International Conference on Pattern Recognition","ICPR '14","","978-1-4799-5209-0","","IEEE Computer Society","Washington, DC, USA"
"article","2386669","Lled&#243;  Museros and Zoe  Falomir and Francisco  Velasco and Luis  Gonzalez-Abril and Isabel  Mart&#237;","","","","2D Qualitative Shape Matching Applied to Ceramic Mosaic Assembly","1973--1983","","11","Cognitive vision, Industrial robotics, Qualitative reasoning","10.1007/s10845-011-0524-6","J. Intell. Manuf.","October   2012","23","5","","October","2012","0956-5515","","","","","","Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
"article","1633061","Chih-Hong  Cheng and Markus  Rickert and Christian  Buckl and Edward A. Lee and Alois  Knoll","","","","Toward the Design of Robotic Software with Verifiable Safety","622--623","","2","robotics, verification","10.1109/COMPSAC.2009.89","","","","","","","2009","","Proceedings of the 2009 33rd Annual IEEE International Computer Software and Applications Conference - Volume 01","COMPSAC '09","","978-0-7695-3726-9","","IEEE Computer Society","Washington, DC, USA"
"article","1440750","E. A. Merch&#225;n-Cruz and G.  Urriolagoitia-Sosa and J.  Ram&#237;rez-Gordillo and R.  Rodr&#237;guez-Ca&#241;izo and I. Y. Campos-Padilla and J. J. Mu&#241;oz-C&#233;sar and E.  Lugo-Gonz&#225;lez","","","","GA Based Trajectory Planner for Robot Manipulators Sharing a Common Workspace with Adaptive Population Size","520--525","","6","Genetic algorithms, trajectory planner, robot manipulators","10.1109/CERMA.2008.65","","","","","","","2008","","Proceedings of the 2008 Electronics, Robotics and Automotive Mechanics Conference","CERMA '08","","978-0-7695-3320-9","","IEEE Computer Society","Washington, DC, USA"
"article","1227735","Xin W. Chen and Shimon Y. Nof","","","","Error Detection and Prediction Algorithms: Application in Robotics","225--252","","28","agent error detection, co-net error detection, co-net error prediction, error detection algorithm, error prediction algorithm, pick and place motion","10.1007/s10846-006-9094-9","J. Intell. Robotics Syst.","February  2007","48","2","","February","2007","0921-0296","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"book","525881","CORPORATE  Frost and Sullivan Staff","","","","","","","","","","","","","","","","1995","","World Portable Computer, Pen Computer, Palmtop, and Peripherals Markets","","","0788903780","","Frost  &amp; Sullivan","New York, NY, USA"
"article","2773265","Daniel  Claes and Philipp  Robbel and Frans A. Oliehoek and Karl  Tuyls and Daniel  Hennes and Wiebe  van der Hoek","","","","Effective Approximations for Multi-Robot Coordination in Spatially Distributed Tasks","881--890","","10","multi-robot systems, robot coordination, robot planning and plan execution, robot teams, robotics","","","","","","","","2015","","Proceedings of the 2015 International Conference on Autonomous Agents and Multiagent Systems","AAMAS '15","","978-1-4503-3413-6","Istanbul, Turkey","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC"
"article","2694555","Zhi  Yan and Luc  Fabresse and Jannik  Laval and Noury  Bouraqadi","","","","Team Size Optimization for Multi-robot Exploration","438--449","","12","MORSE, Multi-robot systems, ROS, exploration, simulation","10.1007/978-3-319-11900-7_37","","","","","","","2014","","Proceedings of the 4th International Conference on Simulation, Modeling, and Programming for Autonomous Robots - Volume 8810","SIMPAR 2014","","978-3-319-11899-4","Bergamo, Italy","Springer-Verlag New York, Inc.","New York, NY, USA"
"article","1602077","Wei-Chung  Lee and Jong-Chen  Chen and Shou-Zhe  Wu and Kuo-Ming  Lin","","","","Learning with a Quadruped Chopstick Robot","603--616","","14","Evolutionary learning, Neural networks, Robot, Sensors","10.1007/978-3-642-03070-3_46","","","","","","","2009","","Proceedings of the 6th International Conference on Machine Learning and Data Mining in Pattern Recognition","MLDM '09","","978-3-642-03069-7","Leipzig, Germany","Springer-Verlag","Berlin, Heidelberg"
"article","2318178","Richard S. Stansbury and Arvin  Agah","","","","A Robot Decision Making Framework Using Constraint Programming","67--83","","17","Applied artificial intelligence, Constraint programming, Mobile robots","10.1007/s10462-011-9241-y","Artif. Intell. Rev.","June      2012","38","1","","June","2012","0269-2821","","","","","","Kluwer Academic Publishers","Norwell, MA, USA"
"article","591934","Saeed Shiry Ghidary and Yasushi  Nakata and Hiroshi  Saito and Motofumi  Hattori and Toshi  Takamori","","","","Multi-Modal Interaction of Human and Home Robot in the Context of Room Map Generation","169--184","","16","human detection, human-robot interaction, map generation, object localization, robot positioning","10.1023/A:1019689509522","Auton. Robots","September 2002","13","2","","September","2002","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","2937243","Tathagata  Chakraborti","","","","Planning for Symbiotic Action: (Doctoral Consortium)","1536--1537","","2","human-aware planning, human-robot cohabitation, planning and coordination","","","","","","","","2016","","Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems","AAMAS '16","","978-1-4503-4239-1","Singapore, Singapore","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC"
"article","2937243","Tathagata  Chakraborti","","","","Planning for Symbiotic Action: (Doctoral Consortium)","1536--1537","","2","human-aware planning, human-robot cohabitation, planning and coordination","","","","","","","","2016","","Proceedings of the 2016 International Conference on Autonomous Agents &#38; Multiagent Systems","AAMAS '16","","978-1-4503-4239-1","Singapore, Singapore","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC"
"article","1471747","Daejung  Shin and Seung You Na and Jin Young Kim and Min-Gyu  Song","","","","Development and Performance Analysis of Artificial Muscle for Fish Robots Using Water Pumps","403--408","","6","Artificial Muscle, Fish Robot, Water Pump","10.1109/ICCIT.2008.61","","","","","","","2008","","Proceedings of the 2008 Third International Conference on Convergence and Hybrid Information Technology - Volume 01","ICCIT '08","","978-0-7695-3407-7","","IEEE Computer Society","Washington, DC, USA"
"article","1285476","Hyun Do Choi and Chun Kyu Woo and Soohyun  Kim and Yoon Keun Kwak and Sukjune  Yoon","","","","Independent Traction Control for Uneven Terrain Using Stick-slip Phenomenon: Application to a Stair Climbing Robot","3--18","","16","Mobile robot, Traction control, Uneven terrain","10.1007/s10514-007-9027-x","Auton. Robots","July      2007","23","1","","July","2007","0929-5593","","","","","","Kluwer Academic Publishers","Hingham, MA, USA"
"article","1825495","Gabe  Sibley and Christopher  Mei and Ian  Reid and Paul  Newman","","","","Vast-scale Outdoor Navigation Using Adaptive Relative Bundle Adjustment","958--980","","23","bundle adjustment, robotics, stereo mapping, visual SLAM","10.1177/0278364910369268","Int. J. Rob. Res.","July      2010","29","8","","July","2010","0278-3649","","","","","","Sage Publications, Inc.","Thousand Oaks, CA, USA"
"article","2935789","Andreas  Cord-Landwehr and Matthias  Fischer and Daniel  Jung and Friedhelm  Meyer auf der Heide","","","","Asymptotically Optimal Gathering on a Grid","301--312","","12","autonomous robots, distributed algorithms, gathering problem, robot formation problems, runtime bound","10.1145/2935764.2935789","","","","","","","2016","","Proceedings of the 28th ACM Symposium on Parallelism in Algorithms and Architectures","SPAA '16","","978-1-4503-4210-0","Pacific Grove, California, USA","ACM","New York, NY, USA"
"article","1560763","Muzaffer  Kapanoglu and Metin  Ozkan and Ahmet  Yaz&#305;c&#305; and Osman  Parlaktuna","","","","Pattern-Based Genetic Algorithm Approach to Coverage Path Planning for Mobile Robots","33--42","","10","Coverage path planning, Genetic algorithms, Mobile robot","10.1007/978-3-642-01970-8_4","","","","","","","2009","","Proceedings of the 9th International Conference on Computational Science: Part I","ICCS '09","","978-3-642-01969-2","Baton Rouge, LA","Springer-Verlag","Berlin, Heidelberg"
"article","2793860","Sruti  Gan Chaudhuri and Krishnendu  Mukhopadhyaya","","","","Leader Election and Gathering for Asynchronous Fat Robots Without Common Chirality","171--192","","22","Asynchronous, Chirality, Fat robots, Gathering, Leader election","10.1016/j.jda.2015.04.001","J. of Discrete Algorithms","July 2015","33","C","","July","2015","1570-8667","","","","","","Elsevier Science Publishers B. V.","Amsterdam, The Netherlands, The Netherlands"
